project_title,project_id,project_contact,description,,time_interval,project_based_club
project41,41,trudie_gerlach94@yahoo.com,These men are hard at work.,5870,3 months,Ohio State University   Steel Bridge Team
project42,42,yvette.wolff@gmail.com,The castle is on top of a cliff.,1625,6 months,Ohio State University   Theta Tau
project43,43,joey16@gmail.com,I am a little mad right now.,7528,2 months,Ohio State University   Women in Science and Engineering Roundtable
project44,44,erick_daugherty15@hotmail.com,The party was a huge success.,5371,5 months,Ohio State University   American Marketing Association
project45,45,lawrence_hagenes@yahoo.com,He is in his normal clothes.,8266,4 month,Ohio State University   Association for Computing Machinery
project46,46,hipolito40@hotmail.com,They don’t go to school tomorrow.,7283,3 months,Ohio State University   Neuroscience Society
project47,47,sincere43@hotmail.com,I love this headline so much.,6433,6 months,Ohio State University   Orchestra
project48,48,saul6@hotmail.com,I want to have fun with you.,9178,2 months,Ohio State University   Developer Student Club
project49,49,angelo.daugherty62@yahoo.com,Uncle Joe gave me a red toy truck.,8727,5 months,Ohio State University   Design For America
project50,50,destin_heller@yahoo.com,He uses the snorkel to breathe under water.,573,4 month,Ohio State University   Discussions Undergraduate Research Journal
project51,51,quinn1@gmail.com,I hope your trip is relaxing.,498,4 year,Indiana University Engineers Without Borders
project52,52,marshall52@hotmail.com,I could help dad around here.,6998,1.5 years,Indiana University Girls Who Code
project53,53,demarco_larkin66@hotmail.com,"My friends are getting dinner tonight,.",2025,11 months,Indiana University Hackers Society
project54,54,alfonso_halvorson73@gmail.com,He drives to work.,1039,7 years,Indiana University Biomedical Engineering Society
project55,55,julio.balistreri31@yahoo.com,Hairless cats are probably cold a lot.,978,6 weeks,Indiana University American Institute of Chemical Engineers
project56,56,cali_satterfield65@gmail.com,I just took a nap.,6931,3 months,Indiana University Baja Sae
project57,57,lavada_sawayn@hotmail.com,I wish Ubers weren't so expensive.,8253,6 months,Indiana University Aeronautics Team
project58,58,heather67@hotmail.com,There was a parade today.,640,2 months,Indiana University MedWish
project59,59,unique_thiel@yahoo.com,Kids are wearing masks.,2237,5 months,Indiana University Rocket Team
project60,60,ricardo.heathcote@gmail.com,I want to have a pink bed this year.,6865,5 month,Indiana University Global Health Design Collaborative
project61,61,tamia.sporer@hotmail.com,You're so adorable.,7517,3 months,Indiana University Graduate Civil Engineering Student Association
project62,62,ubaldo60@gmail.com,We already know the truth.,1592,6 months,Indiana University Medical Technology Group
project63,63,audrey64@yahoo.com,They had a very bad breakup.,2581,2 months,Indiana University oSTEM
project64,64,piper_jenkins@gmail.com,That will do.,7631,5 months,Indiana University Society of Hispanic Professional Engineers
project65,65,eric_beer@yahoo.com,She’s an excellent photographer.,1319,5 month,Indiana University Society of Women Engineers
project66,66,annabell.walker84@yahoo.com,I want to plug my ears.,5211,5 year,Indiana University Steel Bridge Team
project67,67,isabella_predovic75@gmail.com,I don't like desk lamps.,2438,1.5 years,Indiana University Theta Tau
project68,68,napoleon.price12@yahoo.com,He is bigger than all the other boys.,7870,12 months,Indiana University Women in Science and Engineering Roundtable
project69,69,rickie80@hotmail.com,That guy's got an ugly face.,8721,8 years,Indiana University American Marketing Association
project70,70,ellie18@yahoo.com,He opens the door.,8359,7 weeks,Indiana University Association for Computing Machinery
project71,71,leslie.hickle@gmail.com,I used to have a goldfish.,1088,3 months,Indiana University Neuroscience Society
project72,72,natalie.goldner81@yahoo.com,My watch is faster than yours.,3349,6 months,Indiana University Orchestra
project73,73,kendall.tremblay38@gmail.com,The recipe says to use one tablespoon.,6945,2 months,Indiana University Developer Student Club
project74,74,dalton8@gmail.com,He wanted to get the cheese so badly.,7981,5 months,Indiana University Design For America
project75,75,bettie39@hotmail.com,She prefers to take a vitamin capsule.,7106,6 month,Indiana University Discussions Undergraduate Research Journal
project76,76,rafael_conroy@hotmail.com,The kitchen required updating.,5401,3 months,University of Pennsylvania  Engineers Without Borders
project77,77,max24@yahoo.com,She got bent out of shape.,3659,6 months,University of Pennsylvania  Girls Who Code
project78,78,giuseppe_gottlieb87@hotmail.com,It’s getting dark.,8666,2 months,University of Pennsylvania  Hackers Society
project79,79,melvina24@gmail.com,John went to the store.,7011,5 months,University of Pennsylvania  Biomedical Engineering Society
project80,80,luciano_weber@yahoo.com,"I do have a crush, but it's not mutual.",9897,6 month,University of Pennsylvania  American Institute of Chemical Engineers
project81,81,kobe65@gmail.com,I like rice and beans for dinner.,7528,6 year,University of Pennsylvania  Baja Sae
project82,82,efren37@hotmail.com,This is a real step forward.,4422,1.5 years,University of Pennsylvania  Aeronautics Team
project83,83,berniece_rohan21@gmail.com,We live near an old library.,3314,13 months,University of Pennsylvania  MedWish
project84,84,ezekiel.wuckert55@hotmail.com,Spring is the prettiest season.,4596,9 years,University of Pennsylvania  Rocket Team
project85,85,neva_upton18@gmail.com,I want a complete list of your books.,1286,8 weeks,University of Pennsylvania  Global Health Design Collaborative
project86,86,francis47@hotmail.com,She is a very smart girl.,616,3 months,University of Pennsylvania  Graduate Civil Engineering Student Association
project87,87,dee.auer@hotmail.com,My efforts resulted in nothing.,3450,6 months,University of Pennsylvania  Medical Technology Group
project88,88,reese_walsh61@gmail.com,My Airpods keep falling out of my ears.,2067,2 months,University of Pennsylvania  oSTEM
project89,89,lou.boyle67@hotmail.com,You're not looking at the big picture here.,3052,5 months,University of Pennsylvania  Society of Hispanic Professional Engineers
project90,90,avis.kuphal@yahoo.com,He is my classmate.,2774,7 month,University of Pennsylvania  Society of Women Engineers
project91,91,alexandrine.runte@gmail.com,She had five piercings in each ear.,2831,3 months,University of Pennsylvania  Steel Bridge Team
project92,92,eileen.davis@hotmail.com,A white background is easier to work with.,5551,6 months,University of Pennsylvania  Theta Tau
project93,93,novella_metz17@yahoo.com,It takes two to tango.,3693,2 months,University of Pennsylvania  Women in Science and Engineering Roundtable
project94,94,izabella61@gmail.com,I would not want to be in that situation.,1891,5 months,University of Pennsylvania  American Marketing Association
project95,95,vernice12@yahoo.com,My dad needs a new job.,6549,7 month,University of Pennsylvania  Association for Computing Machinery
project96,96,mathias.larson@gmail.com,Make hay while the sun shines.,4369,7 year,University of Pennsylvania  Neuroscience Society
project97,97,gage_kunze76@gmail.com,Star Wars made me cry.,9533,1.5 years,University of Pennsylvania  Orchestra
project98,98,kraig_hermiston@hotmail.com,We're no different from anyone else.,5100,14 months,University of Pennsylvania  Developer Student Club
project99,99,mortimer.stamm34@hotmail.com,The fan was blowing on my feet.,4876,10 years,University of Pennsylvania  Design For America
project100,100,milford_kuhlman61@yahoo.com,I just walked on the furriest lawn.,1912,9 weeks,University of Pennsylvania  Discussions Undergraduate Research Journal
project101,101,anastasia_turcotte@hotmail.com,I'll be back by 4.,3622,3 months,University of Illinois Chicago Engineers Without Borders
project102,102,collin.stroman86@hotmail.com,You guys can leave whenever you want.,2047,6 months,University of Illinois Chicago Girls Who Code
project103,103,easton.huels@yahoo.com,Good location choice.,2879,2 months,University of Illinois Chicago Hackers Society
project104,104,shana3@gmail.com,I like reading detective stories.,2326,5 months,University of Illinois Chicago Biomedical Engineering Society
project105,105,johnathon_blick@hotmail.com,I am going to make my bed first.,440,8 month,University of Illinois Chicago American Institute of Chemical Engineers
project106,106,kitty_simonis43@hotmail.com,I want to eat.,3525,3 months,University of Illinois Chicago Baja Sae
project107,107,rosemarie11@gmail.com,Yesterday he saw a skinny man.,3255,6 months,University of Illinois Chicago Aeronautics Team
project108,108,joanny.hane46@hotmail.com,They have a big lunch and a small dinner.,3831,2 months,University of Illinois Chicago MedWish
project109,109,koby.jaskolski76@hotmail.com,The tables were made of fake wood.,3123,5 months,University of Illinois Chicago Rocket Team
project110,110,zelda.flatley56@gmail.com,It's so expensive I want to die.,5122,8 month,University of Illinois Chicago Global Health Design Collaborative
project111,111,kyle_herman@gmail.com,A man from my future came to me today.,5526,8 year,University of Illinois Chicago Graduate Civil Engineering Student Association
project112,112,vicente51@gmail.com,Property values will go up.,6473,1.5 years,University of Illinois Chicago Medical Technology Group
project113,113,christina.botsford19@hotmail.com,It is what it is.,8467,15 months,University of Illinois Chicago oSTEM
project114,114,rylan.moen@hotmail.com,They got off on the wrong foot.,9468,11 years,University of Illinois Chicago Society of Hispanic Professional Engineers
project115,115,destini.emmerich19@hotmail.com,I’d like to honor an event.,6477,10 weeks,University of Illinois Chicago Society of Women Engineers
project116,116,ursula51@yahoo.com,She liked patterned socks.,8694,3 months,University of Illinois Chicago Steel Bridge Team
project117,117,lisette_wyman@hotmail.com,She’s as white as a sheet.,8592,6 months,University of Illinois Chicago Theta Tau
project118,118,myrtle83@hotmail.com,I just made it.,1165,2 months,University of Illinois Chicago Women in Science and Engineering Roundtable
project119,119,gerhard_kuhn43@yahoo.com,The steak is on the grill.,8054,5 months,University of Illinois Chicago American Marketing Association
project120,120,garrison_braun98@gmail.com,I went to the dentist for a check-up.,9468,9 month,University of Illinois Chicago Association for Computing Machinery
project121,121,krystel42@hotmail.com,You're taking a risk coming here.,4975,3 months,University of Illinois Chicago Neuroscience Society
project122,122,einar59@gmail.com,They're not big fans of mine.,4424,6 months,University of Illinois Chicago Orchestra
project123,123,serenity_klein@hotmail.com,"The spirit is willing, but the flesh is weak.",7654,2 months,University of Illinois Chicago Developer Student Club
project124,124,alta_kutch@hotmail.com,"In Australia, McDonald's is called Maccas.",4504,5 months,University of Illinois Chicago Design For America
project125,125,noah.hagenes3@hotmail.com,There's a scary thunderstorm on way.,9568,9 month,University of Illinois Chicago Discussions Undergraduate Research Journal
project126,126,jailyn42@gmail.com,She had a variety of masks.,3924,9 year,University of Illinois Urbana Champaign Engineers Without Borders
project127,127,callie_wisozk@yahoo.com,Of course it traumatized me.,5536,1.5 years,University of Illinois Urbana Champaign Girls Who Code
project128,128,eriberto_rohan30@gmail.com,He drew all over his yearbook.,7946,16 months,University of Illinois Urbana Champaign Hackers Society
project129,129,marcus_kling@gmail.com,A yardstick is 3 feet long.,1019,12 years,University of Illinois Urbana Champaign Biomedical Engineering Society
project130,130,lesly.hills@hotmail.com,He's finally stopping.,2571,11 weeks,University of Illinois Urbana Champaign American Institute of Chemical Engineers
project131,131,taylor43@yahoo.com,"It's a big country, Tom.",7803,3 months,University of Illinois Urbana Champaign Baja Sae
project132,132,hailee_lubowitz@gmail.com,I tie my tie.,4634,6 months,University of Illinois Urbana Champaign Aeronautics Team
project133,133,loyal_dietrich81@hotmail.com,Any day will do.,8262,2 months,University of Illinois Urbana Champaign MedWish
project134,134,dejah_bins@yahoo.com,She wasn't sure if she wanted to go or not.,2465,5 months,University of Illinois Urbana Champaign Rocket Team
project135,135,diamond14@yahoo.com,He neither smokes nor drinks.,4109,10 month,University of Illinois Urbana Champaign Global Health Design Collaborative
project136,136,rashad.quigley@gmail.com,He ordered a latte.,9851,3 months,University of Illinois Urbana Champaign Graduate Civil Engineering Student Association
project137,137,silas_crist11@gmail.com,I'd like to run a stock farm.,6504,6 months,University of Illinois Urbana Champaign Medical Technology Group
project138,138,enoch50@gmail.com,These dancers are like family.,5554,2 months,University of Illinois Urbana Champaign oSTEM
project139,139,natalie.waters@hotmail.com,John went to the store.,3768,5 months,University of Illinois Urbana Champaign Society of Hispanic Professional Engineers
project140,140,alexie_zieme60@gmail.com,She likes parties.,9984,10 month,University of Illinois Urbana Champaign Society of Women Engineers
project141,141,martina_casper@gmail.com,There was a rock concert in 1970.,5252,10 year,University of Illinois Urbana Champaign Steel Bridge Team
project142,142,alexandrine75@yahoo.com,This radio is no bigger than a matchbox.,1527,1.5 years,University of Illinois Urbana Champaign Theta Tau
project143,143,gaylord_schultz@hotmail.com,I hope things will be different for you.,3024,17 months,University of Illinois Urbana Champaign Women in Science and Engineering Roundtable
project144,144,vinnie9@gmail.com,He won an election.,6815,13 years,University of Illinois Urbana Champaign American Marketing Association
project145,145,jonathon_torp@hotmail.com,That man is creepy.,682,12 weeks,University of Illinois Urbana Champaign Association for Computing Machinery
project146,146,yazmin.kris50@hotmail.com,Tom had a wide smile on his face.,37,3 months,University of Illinois Urbana Champaign Neuroscience Society
project147,147,rafaela94@hotmail.com,My dad killed my houseplants.,6651,6 months,University of Illinois Urbana Champaign Orchestra
project148,148,melyna.hartmann75@gmail.com,He drives to work.,8677,2 months,University of Illinois Urbana Champaign Developer Student Club
project149,149,patrick_kihn@yahoo.com,He got a fantastic performance review.,931,5 months,University of Illinois Urbana Champaign Design For America
project150,150,jewell_terry@yahoo.com,She’s headed to the Hockey Hall of Fame.,8371,11 month,University of Illinois Urbana Champaign Discussions Undergraduate Research Journal
project151,151,rosa_cruickshank@hotmail.com,She told me that she had bigger fish to fry.,501,3 months,University of Michigan Engineers Without Borders
project152,152,pablo_spinka60@gmail.com,The way you said that didn't make sense.,9232,6 months,University of Michigan Girls Who Code
project153,153,torrey.braun@yahoo.com,We go to the gym club together.,5486,2 months,University of Michigan Hackers Society
project154,154,sandra21@yahoo.com,There's a big package on the desk for you.,3862,5 months,University of Michigan Biomedical Engineering Society
project155,155,claire.cruickshank@hotmail.com,He struck his attacker in the ear.,6785,11 month,University of Michigan American Institute of Chemical Engineers
project156,156,tabitha.weimann26@hotmail.com,I almost forgot to tell you the big news.,3582,11 year,University of Michigan Baja Sae
project157,157,doug.tillman60@hotmail.com,There is a huge market for coffee.,6060,1.5 years,University of Michigan Aeronautics Team
project158,158,jett36@gmail.com,There was a list of available candidates.,3643,18 months,University of Michigan MedWish
project159,159,rhea98@gmail.com,I go to the bathroom.,2631,14 years,University of Michigan Rocket Team
project160,160,ardith_huel@yahoo.com,It's up to you.,2553,13 weeks,University of Michigan Global Health Design Collaborative
project161,161,meta20@hotmail.com,Being fashionable is not expensive.,4449,3 months,University of Michigan Graduate Civil Engineering Student Association
project162,162,demarco88@yahoo.com,There are just so many card games.,5840,6 months,University of Michigan Medical Technology Group
project163,163,tanya_kling90@gmail.com,I had so much hope in the beginning.,5241,2 months,University of Michigan oSTEM
project164,164,sigrid98@gmail.com,The woman wasn't replying to her emails.,7401,5 months,University of Michigan Society of Hispanic Professional Engineers
project165,165,odie.simonis90@gmail.com,Going to a bar is a fun thing to do.,763,12 month,University of Michigan Society of Women Engineers
project166,166,frances_gusikowski@gmail.com,That is a pencil.,2738,3 months,University of Michigan Steel Bridge Team
project167,167,abel_roberts@yahoo.com,I wish Star Wars had a happier plot.,5655,6 months,University of Michigan Theta Tau
project168,168,dell.lehner70@yahoo.com,They employed him as a consultant.,1576,2 months,University of Michigan Women in Science and Engineering Roundtable
project169,169,bradford.zulauf@gmail.com,I had to put a pin in his femur.,1962,5 months,University of Michigan American Marketing Association
project170,170,ralph61@yahoo.com,I added his name to the book.,4382,12 month,University of Michigan Association for Computing Machinery
project171,171,kayley22@gmail.com,He’s a natural.,1083,12 year,University of Michigan Neuroscience Society
project172,172,sonya_kling@hotmail.com,His chopsticks were made from bamboo.,139,1.5 years,University of Michigan Orchestra
project173,173,karli_reilly93@yahoo.com,"Show me your rates, please.",2488,19 months,University of Michigan Developer Student Club
project174,174,julien88@gmail.com,I haven’t been invited.,431,15 years,University of Michigan Design For America
project175,175,wilson.dicki@hotmail.com,I write fake news.,6057,14 weeks,University of Michigan Discussions Undergraduate Research Journal
project176,176,elroy.bashirian67@gmail.com,I was called into the office first.,6367,3 months,Carnegie Mellon University Engineers Without Borders
project177,177,shyanne58@yahoo.com,Here is David with his guitar.,6592,6 months,Carnegie Mellon University Girls Who Code
project178,178,shirley96@yahoo.com,I am extra ticklish for some reason.,2618,2 months,Carnegie Mellon University Hackers Society
project179,179,adrain34@yahoo.com,They speak English in the United States.,8040,5 months,Carnegie Mellon University Biomedical Engineering Society
project180,180,trey11@yahoo.com,This jacket is a little too thick.,4832,13 month,Carnegie Mellon University American Institute of Chemical Engineers
project181,181,larue54@hotmail.com,I have something to tell you.,4463,3 months,Carnegie Mellon University Baja Sae
project182,182,annetta_hessel@hotmail.com,I want many things for myself.,2354,6 months,Carnegie Mellon University Aeronautics Team
project183,183,shanel51@hotmail.com,I do not eat meat.,9190,2 months,Carnegie Mellon University MedWish
project184,184,monroe.hoeger14@gmail.com,Many large cities have smog.,3633,5 months,Carnegie Mellon University Rocket Team
project185,185,elinor_trantow82@hotmail.com,She washed the tomatoes.,6899,13 month,Carnegie Mellon University Global Health Design Collaborative
project186,186,opal.bahringer@gmail.com,Tom took a big bite out of Mary's sandwich.,8023,13 year,Carnegie Mellon University Graduate Civil Engineering Student Association
project187,187,vivian_kerluke80@hotmail.com,We have a brown dog.,7213,1.5 years,Carnegie Mellon University Medical Technology Group
project188,188,mack.gottlieb92@hotmail.com,His father owns the restaurant.,4262,20 months,Carnegie Mellon University oSTEM
project189,189,annalise_haley60@gmail.com,Tom wants a nicer house.,158,16 years,Carnegie Mellon University Society of Hispanic Professional Engineers
project190,190,lydia_kessler@yahoo.com,She was afraid to go to the doctor.,9845,15 weeks,Carnegie Mellon University Society of Women Engineers
project191,191,hulda.runolfsdottir14@yahoo.com,I'll make a statement.,2017,3 months,Carnegie Mellon University Steel Bridge Team
project192,192,tianna_gutkowski17@yahoo.com,You should eat them.,3563,6 months,Carnegie Mellon University Theta Tau
project193,193,rasheed59@hotmail.com,We made it to the club.,6652,2 months,Carnegie Mellon University Women in Science and Engineering Roundtable
project194,194,erik68@hotmail.com,It’ll happen any day now.,4248,5 months,Carnegie Mellon University American Marketing Association
project195,195,crystel.gislason97@gmail.com,I have 10 hair straighteners.,997,14 month,Carnegie Mellon University Association for Computing Machinery
project196,196,neal38@hotmail.com,I go to the bathroom.,8106,3 months,Carnegie Mellon University Neuroscience Society
project197,197,abbie_johnston@hotmail.com,They sleep in the afternoon.,7746,6 months,Carnegie Mellon University Orchestra
project198,198,jazmyne_nolan73@yahoo.com,I can be greedy sometimes.,8160,2 months,Carnegie Mellon University Developer Student Club
project199,199,keshaun_koepp@gmail.com,The train is coming early today.,9449,5 months,Carnegie Mellon University Design For America
project200,200,donnell_rutherford@hotmail.com,Our past is important to remember.,5309,14 month,Carnegie Mellon University Discussions Undergraduate Research Journal
project201,201,lila.howe@gmail.com,There was a big gold star on the door.,1958,14 year,New York University Engineers Without Borders
project202,202,hayley93@yahoo.com,It’s getting dark.,8005,1.5 years,New York University Girls Who Code
project203,203,macy.fadel@gmail.com,I like salad and green beans.,8770,21 months,New York University Hackers Society
project204,204,birdie85@hotmail.com,Honesty is the best policy.,9556,17 years,New York University Biomedical Engineering Society
project205,205,dandre70@hotmail.com,Here is another picture of your mom.,9555,16 weeks,New York University American Institute of Chemical Engineers
project206,206,elouise_rohan0@gmail.com,This company's profit margin is very big.,306,3 months,New York University Baja Sae
project207,207,nestor_feil12@gmail.com,The wall had fresh paint on it.,3341,6 months,New York University Aeronautics Team
project208,208,clint_schaden17@gmail.com,He writes meaningless letters.,6102,2 months,New York University MedWish
project209,209,denis99@hotmail.com,It wasn't any bigger than a soccer ball.,7199,5 months,New York University Rocket Team
project210,210,jena.marquardt@hotmail.com,A white table will get dirty fast.,6070,15 month,New York University Global Health Design Collaborative
project211,211,jacey_kuvalis@yahoo.com,We must obey the rules or go to jail.,4659,3 months,New York University Graduate Civil Engineering Student Association
project212,212,laron88@yahoo.com,I opened the door.,3602,6 months,New York University Medical Technology Group
project213,213,hyman_hyatt@yahoo.com,I've got other problems.,9044,2 months,New York University oSTEM
project214,214,freeman23@gmail.com,That's one of my biggest problems.,2056,5 months,New York University Society of Hispanic Professional Engineers
project215,215,arlene.goyette26@yahoo.com,Murders are very common in cities.,5913,15 month,New York University Society of Women Engineers
project216,216,toney_deckow@gmail.com,That guy's got an ugly face.,3448,15 year,New York University Steel Bridge Team
project217,217,hertha_halvorson10@yahoo.com,Tom is just a farm boy living in a big city.,8566,1.5 years,New York University Theta Tau
project218,218,brooks29@yahoo.com,The dancer gave him a cigarette.,5850,22 months,New York University Women in Science and Engineering Roundtable
project219,219,audra_brown90@hotmail.com,Mom made me a sandwich.,4301,18 years,New York University American Marketing Association
project220,220,dominic_cummerata71@yahoo.com,The computer is dying on me.,2860,17 weeks,New York University Association for Computing Machinery
project221,221,roxane2@hotmail.com,He feels small next to him.,23,3 months,New York University Neuroscience Society
project222,222,herbert_aufderhar72@hotmail.com,You don’t have children.,4797,6 months,New York University Orchestra
project223,223,katlyn3@hotmail.com,There was a parade today.,7906,2 months,New York University Developer Student Club
project224,224,chanel_huels@yahoo.com,I don't owe you anything.,338,5 months,New York University Design For America
project225,225,nicola_hettinger76@yahoo.com,You have to share it with other tenants.,5487,16 month,New York University Discussions Undergraduate Research Journal
project226,226,coralie.hahn@hotmail.com,She likes parties.,8235,3 months,Columbia University Engineers Without Borders
project227,227,edwina_gerhold@gmail.com,I want to talk about something.,1288,6 months,Columbia University Girls Who Code
project228,228,jany.kub@hotmail.com,She had eleven brothers and sisters.,7050,2 months,Columbia University Hackers Society
project229,229,vincenza_collins@yahoo.com,My pants were falling down so I added a belt.,1400,5 months,Columbia University Biomedical Engineering Society
project230,230,elisa_kutch@yahoo.com,You‘d better wear a light jacket.,8250,16 month,Columbia University American Institute of Chemical Engineers
project231,231,richmond.graham65@gmail.com,There was a rock concert in 1970.,4201,16 year,Columbia University Baja Sae
project232,232,selmer_hane21@gmail.com,I have too much work to do.,9197,1.5 years,Columbia University Aeronautics Team
project233,233,sofia59@yahoo.com,You're simply the best.,6091,23 months,Columbia University MedWish
project234,234,betsy.wolf@yahoo.com,He drew all over his yearbook.,5316,19 years,Columbia University Rocket Team
project235,235,lilyan.hand@hotmail.com,She felt sad for no real reason.,663,18 weeks,Columbia University Global Health Design Collaborative
project236,236,ryder_cremin15@hotmail.com,I'll make a list and give it to Samantha.,9656,3 months,Columbia University Graduate Civil Engineering Student Association
project237,237,marilou59@hotmail.com,She hated first dates.,9814,6 months,Columbia University Medical Technology Group
project238,238,gabriella_dickens@gmail.com,The caffeine was making her jittery.,8314,2 months,Columbia University oSTEM
project239,239,ramon.kohler@hotmail.com,It won’t happen in our lifetime.,7159,5 months,Columbia University Society of Hispanic Professional Engineers
project240,240,trevor_brown38@hotmail.com,"That's a great job, Kimberly.",9301,17 month,Columbia University Society of Women Engineers
project241,241,paolo_lang55@gmail.com,Northwestern is a great school.,484,3 months,Columbia University Steel Bridge Team
project242,242,harmon.ratke@hotmail.com,I hope your trip is relaxing.,2714,6 months,Columbia University Theta Tau
project243,243,allen38@yahoo.com,He was married to a friend of mine.,2243,2 months,Columbia University Women in Science and Engineering Roundtable
project244,244,ila.gutkowski10@gmail.com,A white shirt makes people look tan.,7884,5 months,Columbia University American Marketing Association
project245,245,caleb9@gmail.com,I have a massive crush on him.,2665,17 month,Columbia University Association for Computing Machinery
project246,246,anika19@gmail.com,More people have been to Russia than I have.,908,17 year,Columbia University Neuroscience Society
project247,247,allie_zulauf49@gmail.com,I am just extremely proud of him.,1651,1.5 years,Columbia University Orchestra
project248,248,mellie25@hotmail.com,I need to stop spending money.,4208,24 months,Columbia University Developer Student Club
project249,249,presley_oreilly@gmail.com,It's raining and thundering.,1646,20 years,Columbia University Design For America
project250,250,brendan_jenkins19@yahoo.com,You're pulling my leg.,9311,19 weeks,Columbia University Discussions Undergraduate Research Journal
project251,251,constantin.hoppe99@yahoo.com,I’ve done a psychic healing course.,6406,3 months,Cornell University Engineers Without Borders
project252,252,alysa_legros30@yahoo.com,It's rare to find big yards in Japan.,9415,6 months,Cornell University Girls Who Code
